# Chunk-averaged data for fix netEndForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netEndForce
  10 42 0.85217
  11 42 -0.267212
  12 42 0.665239
  13 42 -0.405823
  14 42 1.02377
  15 42 -0.59968
  16 42 1.12418
  17 42 0.720815
  18 42 1.84591
  19 42 -1.35098
  20 42 0.485887
1900 20 840
  1 42 0.283966
  2 42 -0.931074
  3 42 2.3324
  4 42 0.861723
  5 42 -0.988035
  6 42 -0.574032
  7 42 1.72813
  8 42 0.380354
  9 42 0.112294
  10 42 -1.77228
  11 42 -0.669726
  12 42 -2.11203
  13 42 0.303725
  14 42 0.704011
  15 42 0.141788
  16 42 0.275071
  17 42 1.26546
  18 42 0.21373
  19 42 0.892675
  20 42 -0.26675
2000 20 840
  1 42 0.0800442
  2 42 0.638424
  3 42 -1.20984
  4 42 -0.341645
  5 42 -0.280125
  6 42 1.3127
  7 42 -0.706501
  8 42 0.383345
  9 42 0.945866
  10 42 0.144193
  11 42 -1.06224
  12 42 -0.635178
  13 42 0.843562
  14 42 0.77868
  15 42 -0.383167
  16 42 -0.2282
  17 42 0.600803
  18 42 0.70945
  19 42 -0.164099
  20 42 0.439713
2100 20 840
  1 42 -0.395128
  2 42 0.169205
  3 42 -0.464838
  4 42 -0.0120844
  5 42 -0.328376
  6 42 0.512259
  7 42 -0.180768
  8 42 0.278071
  9 42 0.621905
  10 42 0.0601087
  11 42 -0.781204
  12 42 0.99384
  13 42 0.075583
  14 42 0.145554
  15 42 1.54239
  16 42 -1.14944
  17 42 0.496582
  18 42 0.726679
  19 42 0.921948
  20 42 -1.33227
2200 20 840
  1 42 0.451571
  2 42 -1.25904
  3 42 0.0335635
  4 42 1.42915
  5 42 -0.748721
  6 42 -1.11819
  7 42 -0.703177
  8 42 0.382452
  9 42 -0.458326
  10 42 0.472812
  11 42 -0.0720224
  12 42 -1.20082
  13 42 -0.788256
  14 42 -0.830338
  15 42 1.01166
  16 42 -1.07526
  17 42 -0.732728
  18 42 -0.836271
  19 42 -0.434548
  20 42 1.23016
2300 20 840
  1 42 -0.282775
  2 42 1.20613
  3 42 1.29158
  4 42 -1.10519
  5 42 -0.947169
  6 42 -1.10611
  7 42 -0.775806
  8 42 -0.0320982
  9 42 0.163221
  10 42 1.35128
  11 42 0.432522
  12 42 -0.517882
  13 42 -0.305671
  14 42 -0.215175
  15 42 0.242749
  16 42 0.19579
  17 42 -0.55796
  18 42 0.138249
  19 42 -2.72115
  20 42 1.79573
2400 20 840
  1 42 0.0894592
  2 42 0.269547
  3 42 -0.235955
  4 42 0.504277
  5 42 -0.331849
  6 42 -1.00501
  7 42 -0.41471
  8 42 -0.733662
  9 42 -1.60246
  10 42 -1.09206
  11 42 -0.353058
  12 42 -0.253973
  13 42 0.0986698
  14 42 0.00877278
  15 42 1.98218
  16 42 0.0480166
  17 42 -0.165714
  18 42 -0.509789
  19 42 -1.25809
  20 42 -0.959098
2500 20 840
  1 42 -0.844865
  2 42 -0.690463
  3 42 0.979757
  4 42 0.631826
  5 42 -0.569124
  6 42 -0.457131
  7 42 0.281631
  8 42 0.378572
  9 42 -0.344175
  10 42 -0.357286
  11 42 -1.00448
  12 42 -0.81528
  13 42 0.872407
  14 42 -0.0803726
  15 42 -0.460877
  16 42 -0.0480939
  17 42 -0.0630923
  18 42 -1.79611
  19 42 0.62029
  20 42 1.30518
2600 20 840
  1 42 0.0979873
  2 42 -0.400126
  3 42 2.16974
  4 42 0.533402
  5 42 -0.469372
  6 42 0.233944
  7 42 1.12975
  8 42 -0.82913
  9 42 2.72766
  10 42 -1.15133
  11 42 0.57183
  12 42 -0.260915
  13 42 -0.0570124
  14 42 -0.281001
  15 42 -0.940619
  16 42 0.329702
  17 42 -0.810974
  18 42 -1.14163
  19 42 -0.198503
  20 42 -0.103286
2700 20 840
  1 42 0.821373
  2 42 0.506762
  3 42 0.888772
  4 42 0.630181
  5 42 0.520869
  6 42 1.7993
  7 42 0.916427
  8 42 -1.30504
  9 42 -0.444917
  10 42 0.217692
  11 42 0.999526
  12 42 1.62785
  13 42 0.648886
  14 42 1.2928
  15 42 2.95661
  16 42 0.0202525
  17 42 1.37727
  18 42 0.96021
  19 42 1.15882
  20 42 -2.48646
2800 20 840
  1 42 0.645581
