# Chunk-averaged data for fix sternForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_sternComp
  5 42 -1.50261
  6 42 -0.300995
  7 42 -0.535288
  8 42 -1.4737
  9 42 -1.96948
  10 42 2.7373
  11 42 0.715084
  12 42 0.352157
  13 42 -0.263131
  14 42 0.417293
  15 42 -1.03967
  16 42 0.0354173
  17 42 -1.15097
  18 42 0.281157
  19 42 1.05786
  20 42 -1.58063
3200 20 840
  1 42 -1.50197
  2 42 -0.483154
  3 42 0.363845
  4 42 -1.42829
  5 42 0.289238
  6 42 -0.549525
  7 42 1.09771
  8 42 2.50393
  9 42 -0.193501
  10 42 0.361147
  11 42 0.62912
  12 42 0.119366
  13 42 0.252607
  14 42 -1.76028
  15 42 0.733762
  16 42 1.86761
  17 42 -0.344358
  18 42 1.57622
  19 42 1.90041
  20 42 -0.638304
3300 20 840
  1 42 -1.30174
  2 42 0.687728
  3 42 -0.143888
  4 42 0.955577
  5 42 0.3935
  6 42 -0.640705
  7 42 -0.13403
  8 42 -0.104985
  9 42 -1.51859
  10 42 0.682734
  11 42 1.80236
  12 42 0.299726
  13 42 -0.319851
  14 42 0.978313
  15 42 -0.912811
  16 42 -1.52146
  17 42 -0.0403012
  18 42 -1.56042
  19 42 -1.24146
  20 42 1.10539
3400 20 840
  1 42 -1.42322
  2 42 -0.816383
  3 42 0.0348853
  4 42 1.68518
  5 42 0.788461
  6 42 1.18719
  7 42 -0.560507
  8 42 -0.836594
  9 42 -0.0359604
  10 42 -2.10519
  11 42 -2.8799
  12 42 -1.33174
  13 42 -0.404938
  14 42 0.0303327
  15 42 0.130548
  16 42 1.81899
  17 42 -0.857506
  18 42 -1.55415
  19 42 -0.446941
  20 42 -0.0169327
3500 20 840
  1 42 -1.25457
  2 42 0.872777
  3 42 3.84205
  4 42 -0.142185
  5 42 0.162432
  6 42 0.577745
  7 42 -1.82411
  8 42 -0.788744
  9 42 -0.556119
  10 42 -0.910306
  11 42 -0.151869
  12 42 0.758763
  13 42 -0.0228624
  14 42 -1.9068
  15 42 0.0376572
  16 42 0.878518
  17 42 -1.89913
  18 42 -1.25704
  19 42 -0.078465
  20 42 2.26784
3600 20 840
  1 42 -0.183671
  2 42 -0.354529
  3 42 0.630906
  4 42 1.27415
