# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
  7 42 1.59994
  8 42 -0.557318
  9 42 0.555051
  10 42 -0.418931
  11 42 -0.819646
  12 42 0.0690464
  13 42 -0.186717
  14 42 3.33397
  15 42 -1.28009
  16 42 -2.1874
  17 42 -1.03939
  18 42 -0.239912
  19 42 1.42043
  20 42 0.390944
2800 20 840
  1 42 -1.49191
  2 42 0.350599
  3 42 0.224431
  4 42 1.12086
  5 42 -1.41091
  6 42 0.576584
  7 42 0.962658
  8 42 -0.62899
  9 42 -0.236489
  10 42 -2.90418
  11 42 1.20742
  12 42 0.191409
  13 42 -0.901831
  14 42 0.320459
  15 42 -0.114777
  16 42 -0.0864831
  17 42 -0.792369
  18 42 1.43474
  19 42 2.12443
  20 42 1.14885
2900 20 840
  1 42 0.39171
  2 42 1.73142
  3 42 2.86154
  4 42 0.78861
  5 42 -0.964294
  6 42 -1.6309
  7 42 -0.256157
  8 42 0.960852
  9 42 1.37854
  10 42 0.113958
  11 42 -2.08215
  12 42 -0.989996
  13 42 1.52214
  14 42 -1.56245
  15 42 2.27425
  16 42 -0.900568
  17 42 -1.12849
  18 42 1.69977
  19 42 1.44825
  20 42 1.08055
3000 20 840
  1 42 0.161205
  2 42 0.708226
  3 42 0.355573
  4 42 0.613756
  5 42 0.172283
  6 42 -0.838119
  7 42 1.55674
  8 42 -1.39517
  9 42 0.521519
  10 42 -0.467627
  11 42 1.96734
  12 42 -0.648175
  13 42 0.166285
  14 42 -2.99123
  15 42 -0.369699
  16 42 -3.24926
  17 42 1.13856
  18 42 0.415526
  19 42 2.22059
  20 42 -3.46167
3100 20 840
  1 42 1.22119
  2 42 1.82614
  3 42 -1.26366
  4 42 -1.52357
  5 42 -1.22786
  6 42 -0.306141
  7 42 1.22131
  8 42 -0.283281
  9 42 0.856668
  10 42 1.41927
  11 42 1.65473
  12 42 -0.935359
  13 42 -1.03184
  14 42 -1.50669
  15 42 0.777307
  16 42 -0.948762
  17 42 0.11079
  18 42 -1.25924
  19 42 2.43135
  20 42 -1.02997
3200 20 840
  1 42 0.400342
  2 42 0.220171
  3 42 -0.200391
  4 42 -0.646609
  5 42 -0.521621
  6 42 1.10324
  7 42 0.943481
  8 42 0.740201
  9 42 -0.533038
  10 42 1.30203
  11 42 1.23254
  12 42 -0.898334
  13 42 -0.55952
  14 42 -0.183017
  15 42 -0.505539
  16 42 2.44152
  17 42 0.613947
  18 42 -1.84023
  19 42 2.21717
  20 42 1.00735
3300 20 840
  1 42 0.825284
  2 42 -1.51087
  3 42 0.15992
  4 42 -1.21022
  5 42 -1.57458
  6 42 0.27202
  7 42 -0.309505
  8 42 -1.94217
  9 42 1.31589
  10 42 1.04695
  11 42 -0.439641
  12 42 1.92185
  13 42 -1.81246
  14 42 3.33197
  15 42 -0.5715
  16 42 -0.541927
  17 42 -0.0683907
  18 42 0.916493
  19 42 -0.625057
  20 42 -0.571962
3400 20 840
  1 42 -1.21607
  2 42 -2.48575
  3 42 2.28717
  4 42 0.64985
  5 42 0.0146041
  6 42 -0.490681
  7 42 0.578435
  8 42 -0.32452
  9 42 0.989053
  10 42 -1.7031
  11 42 -0.195006
  12 42 2.86697
  13 42 -1.36356
  14 42 1.24902
  15 42 0.481953
  16 42 1.97432
  17 42 -1.06409
  18 42 -0.301169
  19 42 -2.87408
  20 42 -0.769741
3500 20 840
  1 42 -1.09561
  2 42 0.207852
  3 42 2.97423
  4 42 0.114539
  5 42 -0.932207
  6 42 -1.2396
  7 42 -0.557617
  8 42 1.90808
  9 42 0.268569
  10 42 -0.381697
  11 42 -0.602061
  12 42 1.40503
  13 42 0.777319
  14 42 -0.614222
  15 42 -0.152678
  16 42 1.68261
  17 42 -1.4095
  18 42 0.336338
  19 42 -0.628687
  20 42 -0.930976
3600 20 840
  1 42 0.391715
  2 42 0.448422
  3 42 0.18145
  4 42 2.36584
  5 42 -1.20801
  6 42 -0.28051
  7 42 1.61494
  8 42 1.21045
  9 42 -4.07382
  10 42 0.85307
  11 42 2.88139
  12 42 -1.32989
  13 42 1.27711
  14 42 1.39275
  15 42 -0.508597
  16 42 -3.63861
  17 42 1.43135
  18 42 -0.252013
  19 42 -0.106721
  20 42 -2.58879
3700 20 840
  1 42 -0.671453
  2 42 -1.37226
  3 42 -1.33947
  4 42 -0.756371
  5 42 0.245966
  6 42 -1.97177
  7 42 -0.500762
  8 42 0.168867
  9 42 2.39429
  10 42 -0.0538579
  11 42 1.63875
  12 42 -1.86897
  13 42 0.0740937
  14 42 -0.99234
  15 42 2.02531
  16 42 -0.137983
  17 42 -1.45687
  18 42 -0.760699
  19 42 1.26791
  20 42 0.727613
3800 20 840
  1 42 0.186031
  2 42 -1.58117
  3 42 -0.476072
  4 42 -1.37726
  5 42 0.949497
  6 42 -1.32371
  7 42 0.363109
  8 42 1.05834
  9 42 1.36473
  10 42 0.743802
  11 42 0.263562
  12 42 -0.803091
  13 42 -1.47647
  14 42 -0.906885
  15 42 2.96989
  16 42 0.929581
  17 42 -1.38924
  18 42 -1.29993
  19 42 0.0612122
  20 42 0.145198
3900 20 840
  1 42 0.311999
  2 42 -0.347055
  3 42 -0.498434
  4 42 -2.3513
  5 42 -2.08629
  6 42 -0.0655964
  7 42 0.392704
  8 42 0.402325
  9 42 1.91048
  10 42 -0.393828
  11 42 0.303327
  12 42 4.10196
  13 42 -1.97091
  14 42 2.56298
  15 42 -1.87515
  16 42 0.890701
  17 42 -0.670657
  18 42 0.809226
  19 42 2.74977
  20 42 -0.497454
4000 20 840
  1 42 0.4178
  2 42 -0.627917
  3 42 1.8974
  4 42 -0.357237
  5 42 -0.510285
  6 42 -1.32519
  7 42 0.146861
  8 42 0.442682
  9 42 -2.57105
  10 42 2.05992
  11 42 -1.88764
  12 42 0.764738
  13 42 -0.376168
  14 42 -1.37762
  15 42 -0.33312
  16 42 1.44461
  17 42 -0.727808
  18 42 0.381564
  19 42 -0.872958
  20 42 0.488902
4100 20 840
  1 42 1.89622
  2 42 1.30918
  3 42 1.40325
  4 42 0.701612
  5 42 -0.98539
  6 42 -1.34118
  7 42 -0.257482
  8 42 -0.778426
  9 42 0.810647
  10 42 0.050421
  11 42 -0.803084
  12 42 -0.364323
  13 42 0.381109
  14 42 -2.25183
  15 42 1.14885
  16 42 1.28201
  17 42 -0.554361
  18 42 1.4752
  19 42 0.629223
  20 42 -0.127714
4200 20 840
  1 42 -0.299827
  2 42 1.31429
  3 42 -1.03871
  4 42 1.13427
  5 42 0.996876
  6 42 -0.529444
  7 42 0.0391925
  8 42 -1.67859
  9 42 0.581081
  10 42 -0.703422
  11 42 0.351903
  12 42 -1.93087
  13 42 2.20808
  14 42 0.9212
  15 42 2.9126
  16 42 -0.983164
  17 42 1.23169
  18 42 0.0709089
  19 42 0.93648
  20 42 -1.83034
4300 20 840
  1 42 -1.83935
  2 42 1.02564
  3 42 -0.585217
  4 42 -0.0325849
  5 42 -0.406516
  6 42 -0.193156
  7 42 -1.96794
  8 42 -3.08496
  9 42 0.476472
  10 42 -3.37364
  11 42 0.601595
  12 42 -1.22221
  13 42 -1.1643
  14 42 1.48029
  15 42 1.06936
  16 42 1.33361
  17 42 -0.817068
  18 42 -0.414526
  19 42 -2.64541
  20 42 -1.1549
4400 20 840
  1 42 -0.0562479
  2 42 -0.664938
  3 42 0.371115
  4 42 0.851943
  5 42 -0.0753941
  6 42 0.618691
  7 42 0.311198
  8 42 -0.591469
  9 42 -1.21384
  10 42 -1.04194
  11 42 0.308948
  12 42 -0.680252
  13 42 0.316031
  14 42 -0.488253
  15 42 -0.00719146
  16 42 1.50133
  17 42 -2.37473
  18 42 0.119027
  19 42 0.164856
  20 42 -0.869802
4500 20 840
  1 42 1.05955
  2 42 -0.567725
  3 42 0.5395
  4 42 -2.00768
  5 42 -1.55423
  6 42 0.402126
  7 42 1.25757
  8 42 0.187482
  9 42 0.0910732
  10 42 0.79926
  11 42 0.233806
  12 42 2.32024
  13 42 -0.511563
  14 42 1.07708
  15 42 -1.8711
  16 42 -0.866812
  17 42 1.23092
  18 42 0.720695
  19 42 -2.04785
  20 42 -0.902793
4600 20 840
  1 42 0.578609
  2 42 -1.57443
  3 42 -1.69016
  4 42 0.291528
  5 42 0.665371
  6 42 -1.4
  7 42 0.200049
  8 42 2.16633
  9 42 -3.25025
  10 42 2.24299
  11 42 -0.523953
