# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
1900 20 640
  1 32 0.784786
  2 32 0.271407
  3 32 0.402627
  4 32 1.81242
  5 32 -1.15028
  6 32 -0.258899
  7 32 0.351368
  8 32 -0.414362
  9 32 -1.10182
  10 32 0.19107
  11 32 0.198484
  12 32 -0.410468
  13 32 -0.547226
  14 32 0.0286317
  15 32 0.127319
  16 32 1.97659
  17 32 -0.680531
  18 32 -0.291329
  19 32 0.293643
  20 32 -0.622118
2000 20 640
  1 32 0.128603
  2 32 0.556025
  3 32 0.257053
  4 32 -0.411525
  5 32 -0.546016
  6 32 0.263601
  7 32 -0.293318
  8 32 0.470428
  9 32 -0.558939
  10 32 0.182309
  11 32 -0.135044
  12 32 -0.541962
  13 32 0.321567
  14 32 -0.954285
  15 32 0.359696
  16 32 0.131196
  17 32 0.342977
  18 32 0.0971653
  19 32 -0.0418135
  20 32 0.249207
2100 20 640
  1 32 -0.263473
  2 32 0.909256
  3 32 0.478659
  4 32 -2.15338
  5 32 0.4557
  6 32 0.348859
  7 32 -0.36422
  8 32 1.30182
  9 32 0.0691271
  10 32 0.152872
  11 32 -0.296391
  12 32 -0.441077
  13 32 1.18778
  14 32 -1.4693
  15 32 0.625274
  16 32 -2.06936
  17 32 1.14536
  18 32 0.512976
  19 32 -0.364021
  20 32 0.996455
2200 20 640
  1 32 -0.699036
  2 32 1.06039
  3 32 0.722152
  4 32 -3.1707
  5 32 0.939357
  6 32 0.453075
  7 32 -0.173619
  8 32 1.79859
  9 32 0.231168
  10 32 0.135823
  11 32 -0.222677
  12 32 -0.255078
  13 32 1.3589
  14 32 -1.6634
  15 32 1.28048
  16 32 -3.52589
  17 32 1.26201
  18 32 0.641952
  19 32 -0.449989
  20 32 1.25677
2300 20 640
  1 32 -0.598641
  2 32 0.750467
  3 32 0.571483
  4 32 -3.56702
  5 32 1.2193
  6 32 0.864475
  7 32 0.064251
  8 32 1.88997
  9 32 0.217052
  10 32 0.530023
  11 32 -0.0958657
  12 32 -0.191251
  13 32 1.65661
  14 32 -1.69949
  15 32 1.74258
  16 32 -4.49573
  17 32 1.53456
  18 32 1.01601
  19 32 -0.106951
  20 32 0.944691
2400 20 640
  1 32 -0.663845
  2 32 0.753829
  3 32 0.324115
  4 32 -3.34021
  5 32 1.15313
  6 32 0.912942
  7 32 0.202226
  8 32 1.61078
  9 32 0.0581265
  10 32 0.678502
  11 32 -0.0515281
  12 32 -0.136422
  13 32 1.43124
  14 32 -1.51881
  15 32 1.59249
  16 32 -4.30989
  17 32 1.4386
  18 32 1.60425
  19 32 -0.0903573
  20 32 0.470745
2500 20 640
  1 32 -0.79899
  2 32 0.15155
  3 32 0.0509728
  4 32 -2.64047
  5 32 0.736925
  6 32 0.796527
  7 32 -0.386944
  8 32 1.15371
  9 32 -0.0235809
  10 32 0.269589
  11 32 -0.278089
  12 32 0.0684716
  13 32 0.715635
  14 32 -1.05235
  15 32 1.33186
  16 32 -3.37734
  17 32 1.15415
  18 32 1.21526
  19 32 0.206678
  20 32 0.239399
2600 20 640
  1 32 -1.02395
  2 32 0.0314736
  3 32 -0.217378
  4 32 -1.32455
  5 32 0.341825
  6 32 0.643049
  7 32 -0.261304
  8 32 0.567264
  9 32 0.0503841
  10 32 0.108125
  11 32 -0.189692
  12 32 0.31291
  13 32 0.0905832
  14 32 -0.239539
  15 32 1.01061
  16 32 -2.35849
  17 32 0.595528
  18 32 -0.00626352
  19 32 0.0686476
  20 32 0.131651
2700 20 640
  1 32 -0.685405
  2 32 -0.356693
  3 32 -0.490402
  4 32 -0.270565
  5 32 -0.305389
  6 32 0.702894
  7 32 -0.222499
  8 32 -0.32982
  9 32 0.0875087
  10 32 -0.065435
  11 32 -0.793008
  12 32 -0.232059
  13 32 -0.74995
  14 32 0.400152
  15 32 -0.108296
  16 32 -0.369417
  17 32 -0.138869
  18 32 -0.877237
  19 32 0.324875
  20 32 0.275135
2800 20 640
  1 32 -0.181349
  2 32 -0.653916
  3 32 -0.565888
  4 32 0.236202
  5 32 -1.08509
  6 32 -0.0552616
  7 32 -0.183554
  8 32 -1.10759
  9 32 0.299891
  10 32 -0.203599
  11 32 -0.951735
  12 32 -0.404765
  13 32 -1.75591
  14 32 0.74905
  15 32 -1.2892
  16 32 1.23202
  17 32 -0.824874
  18 32 -1.15627
  19 32 0.492811
  20 32 0.429384
2900 20 640
  1 32 -0.262574
  2 32 -0.847993
  3 32 -0.536568
  4 32 0.663025
  5 32 -1.31296
  6 32 -0.163576
  7 32 -0.354212
  8 32 -1.97732
  9 32 0.881192
  10 32 -0.729528
  11 32 -0.679523
  12 32 -0.74346
  13 32 -2.16147
  14 32 0.926664
  15 32 -1.91862
  16 32 2.92971
  17 32 -1.22135
  18 32 -1.36138
  19 32 0.86524
  20 32 0.832799
3000 20 640
  1 32 0.111553
  2 32 -1.48986
  3 32 -0.283577
  4 32 0.576951
  5 32 -1.33288
  6 32 -0.288769
  7 32 -0.534178
  8 32 -2.13507
  9 32 1.17017
  10 32 -0.727863
  11 32 -0.337149
  12 32 -0.853696
  13 32 -2.3527
  14 32 0.890493
  15 32 -2.68461
  16 32 3.41929
  17 32 -1.0404
  18 32 -1.20384
  19 32 1.03067
  20 32 1.11925
3100 20 640
  1 32 0.0619399
  2 32 -1.33325
  3 32 0.0325106
  4 32 0.267376
  5 32 -1.03361
  6 32 -0.285247
  7 32 -0.335583
  8 32 -1.96022
  9 32 0.843024
  10 32 -0.99704
  11 32 -0.192483
  12 32 -0.51233
  13 32 -2.28569
  14 32 0.458194
  15 32 -2.70955
  16 32 3.56252
  17 32 -0.479126
  18 32 -0.989557
  19 32 0.729684
  20 32 0.770319
3200 20 640
  1 32 0.223554
  2 32 -1.27464
  3 32 0.560092
  4 32 -0.140669
  5 32 -0.439417
  6 32 0.109821
  7 32 -0.193732
  8 32 -1.36706
  9 32 0.828127
  10 32 -0.748822
  11 32 -0.286239
  12 32 -0.338773
  13 32 -1.49396
  14 32 0.268493
  15 32 -2.06169
  16 32 3.2062
  17 32 -0.0490386
  18 32 -0.680188
  19 32 0.211339
  20 32 0.339399
3300 20 640
  1 32 0.504424
  2 32 -0.633127
  3 32 0.669471
  4 32 -0.203655
  5 32 -0.185135
  6 32 -0.0215282
  7 32 -0.143219
  8 32 -0.382236
  9 32 0.653748
  10 32 -0.419711
  11 32 -0.236836
  12 32 0.0326409
  13 32 -0.35481
  14 32 -0.379666
  15 32 -0.905391
  16 32 1.46738
  17 32 0.760377
